,year,ID,count,text,len,ratio
1542,2024,14838,107,"While the shambolic Labour leadership at Kirklees Council are busy fighting among themselves, with resignations, sackings, and the jailing of a Labour councillor for perverting the course of justice, can we have a debate on all the millions of pounds of Government investment that is flowing into the Colne and Holme valleys and Lindley: a brand new A&E unit; the multibillion pound trans-Pennine rail upgrade; the West Yorkshire investment zone, boosting the national health innovation campus of the University of Huddersfield; £100 million of levelling-up cash for the indoor market; the Penistone line upgrade; Marsden Mills; a £30 million teaching block at Greenhead College; and much, much more",699,6.53271028
100853,1994,71888,111," In section 121 of the Civic Government (Scotland) Act 1982 (control of the seashore, adjacent waters and inland waters)— (a) in subsection (5), for paragraph (b) there shall be substituted— (b) the local authority have given notice in writing of their proposal to make byelaws to each person having a proprietorial interest such as is mentioned, in relation to the byelaws, in paragraph (a) above whose identity has been ascertained as mentioned in the said paragraph (a); (b) in subsection (6) the words from ""and of to ""that proposal"" shall cease to have effect; and (c) in subsection (7)— (i) the words from ""but the"" to ""his consent""; and(ii) the word ""nevertheless"", shall cease to have effect",699,6.297297297
99531,1994,54788,103," 130 (Select Committees related to government departments) be amended, by leaving out lines 5 to 8, and in the Table after the entry relating to National Heritage, by inserting the words—""9A Northern Northern Ireland AffairsNorthern Ireland Office; administration and Ireland Affairs expenditure of the Crown Solicitor's Office (but excluding individual cases and advice given by the Crown Solicitor); and other matters within the responsibilities of the Secretary of State for Northern Ireland (but excluding the expenditure, administration and policy of the Office of the Direct or of Public Prosecutions, Northern Ireland and the drafting of legislation by the Office of the Legislative Counsel)",698,6.776699029
65265,2004,30635,107," shortfall in tactical nerve-agent detection systems, vital to alert personnel that an attack was underway, and that the operational filters needed to protect Challenger 2 tanks from radiological, chemical and biological attack were not delivered to frontline units until months after the fall of Saddam, given that the Government's casus belli was fear that the Iraqi regime possessed Weapons of Mass Destruction (WMD) that might be used at short notice; condemns as totally unacceptable the extreme peril to which these supply failures exposed service men and women, because of the perceived WMD danger; and calls upon the Government urgently to address the deficiencies identified in the Report",697,6.514018692
100158,1994,62193,125," 336, in page 20, leave out lines 21 to 37 and insert— '(2) Where this subsection applies, the court shall, at the conclusion of the evidence for the prosecution, satisfy itself (in the case of proceedings on indictment, in the presence of the jury) that the accused is aware that the stage has been reached at which evidence can be given for the defence and that he can, if he wishes, give evidence and that, if he chooses not to give evidence, or having been sworn, without good cause refuses to answer any question, it will be permissible for the court or jury to draw such inferences as appear proper from his failure to give evidence or his refusal, without good cause, to answer any question",697,5.576
1724,2024,16813,102,"[Relevant documents: Second Report of the Science, Innovation and Technology Committee, Insect decline and UK food security, HC 326; Second Report of the Environmental Audit Committee, Environmental change and food security, HC 312, and the Government response, HC 646; Seventh Report of the Environment, Food and Rural Affairs Committee of Session 2022-23, Food security, HC 622, and the Government response, Session 2023-24, HC 37; Oral evidence taken before the International Development Committee on 30 January and 12 March 2024, on the UK Government’s work on achieving SDG2: Zero Hunger, HC 112; and e-petition 611113, Ban development on agricultural land to increase food self-sufficiency",695,6.81372549
29467,2024,1058953,108,"Amendment 57, page 5, line 1 , at end insert—“‘compelling evidence’ may not include foreseeable risk of any kind of harm to a person if that person has—(i) participated or engaged in any activity, or made any communication containing serious allegations, which has led directly to bringing into question the safety of the Republic of Rwanda in the particular individual circumstances of that person, or(ii) colluded or conspired with any other persons who have participated or engaged in any activity, or in any communication containing serious allegations, which could lead to bringing into question the safety of the Republic of Rwanda in the particular individual circumstances of that person",695,6.435185185
97155,1994,22300,106,"Resolved, That, for the purposes of any Act resulting from the Criminal Justice and Public Order Bill, it is expedient to authorise the payment out of money provided by Parliament of any sums required by the Secretary of State— (a) for making payments in connection with measures intended to prevent crime or reduce the fear of crime;(b) for defraying or contributing to the costs incurred by local authorities in providing, or arranging for the provision of, accommodation for restricting the liberty of children; and(c) for making payments in respect of the costs incurred by local authorities or probation committees in providing supervision for offenders subject to secure training orders",692,6.528301887
5668,2024,53030,110,"(2) In section 10A (inserted by section (Restricting parental responsibility where one parent kills the other)(3) of the Victims and Prisoners Act 2024)—(a) for subsection (1) substitute—“(1) This section applies where the Crown Court is sentencing—(a) a person (“the offender”) who is a parent with parental responsibility for a child (“the child”) for the murder or, in the circumstances mentioned in subsection (2), manslaughter of the child’s other parent;(b) a person (“the offender”) who has parental responsibility for a child (“the child”) for an offence under section 1 of the Sexual Offences Act 2003 (rape) against a child or under section 5 of that Act (rape of a child under 13)",691,6.281818182
15516,2024,181444,110,"The petition states:The petition of residents of the constituency of Linlithgow and East Falkirk,Declares that in this time of crisis in the cost of living, the spiralling cost of the immigration health surcharge paid by migrants is alarming; further that the immigration health surcharge now stands at £1035 per annum, representing a 400% increase compared with five years ago; further that when combined with the increases in visa and immigration fees, many migrant families are facing poverty, debt and destitution as they try to bear these costs; and notes that migrant workers are a vital part of our communities and our workforce, including in the UK’s health and social care sectors",689,6.263636364
70129,2004,82988,100," I also wish to place on public record the huge interest that it has generated from all quarters: employers, such as British Gas, BT and Listawood; lifelong learning and educational establishments, such as the adult learners' body—the National Institute of Adult Continuing Education—the Open University, the Guidance Council and the National Extension college; equality bodies, such as the Disability Rights Commission in Wales and the Equal Opportunities Commission; hundreds of carers' organisations; union bodies, such as the TUC and the Iron and Steel Trades Confederation; the Local Government Association and the Welsh Local Government Association; and, of course, carers themselves",689,6.89
121120,1994,913217,125," The judgment of the court continued:   No one reading the full transcript of the evidence of Latimer at the trial, and reading that transcript in an impartial way and with common sense, can doubt that he was a guilty man who, from a very early stage in the interviews, realised that, by reason of the information which Witness 'A' had given, the pohce had a case against him that he was involved in the murder of Carroll, and who in the second interview on the day of his arrest said that things looked bad for him, and in the third interview told the police that he had shot Carroll, but tried for a period through a number of interviews to protect the other soldiers involved with him",687,5.496
17640,2024,245459,94,"Those recommendations include: actions by the leaderships of Serbia and Kosovo to implement the Brussels and Ohrid agreements; supporting the high representative in efforts to tackle secessionist activity by Republika Srpska; re-evaluating the possibility of rejoining Operation Althea, the EU-led peacekeeping mission in Bosnia and Herzegovina; the provision of funding for a BBC Albanian service; the use of longer-term funding instruments to support development in the region; more activity to promote economic growth and combat corruption; continued participation in the Quint; and continued collaboration with EU and US partners on development, security, reform and democratisation",686,7.29787234
20510,2024,366240,98,"In 2022 I said I might do it but my conditions were the ability to ensure that urgent action is proceeding on a range of fundamentally critical issues including:the scandal of nuclear weapons infrastructure which is a dangerous disaster and a budget nightmare of hard-to-believe and highly classified proportions, and which has forced large secret cannibalisation of other national security budgets,building defences for natural and engineered pandemics,the scandal of MOD procurement, ignored despite (even because of) the biggest war in Europe since 1945,AI and other technological capabilities,the broken core government institutions including the dumpster fire of the Cabinet Office",686,7
80212,2004,322575,104,"In essence, the Modernisation Agency's benchmark exercise sets out that services should be based on and evolve from local continence advisory services; ensure that users and carers are involved in the planning, provision and audit of services; ensure that systematic efforts are made to identify cases of incontinence; enable treatment based on assessment to be delivered in the most appropriate setting, which is usually primary care in the first instance; be cohesive and comprehensive, covering urinary and faecal incontinence, adults and children, people resident in their own homes and people who live elsewhere; and, finally, allow easy access to specialist care when it is needed",686,6.596153846
26424,2024,734257,106,"(2) The immediate landlord must conduct the response to the tenant’s claim for a rent reduction on their own behalf and on behalf of the affected other landlords, including by—(a) agreeing the terms of variation of the qualifying lease,(b) agreeing the amount of the required premium,(c) receiving the whole of the required premium and (where it is so received) holding the required premium for themselves and the affected other landlords pending determination of the shares of the required premium in accordance with paragraph 8(8A), and(d) conducting all proceedings arising out of the rent variation notice (whether the proceedings are for resisting or giving effect to the claim)",683,6.443396226
42616,2014,92113,102," That will involve providing a statutory prohibition on the detention of children within immigration removals centres, subject to the exceptions agreed in 2010, which continue to be Government policy; providing families with children a minimum of a 28-day reflection period following the exhaustion of appeal rights against a removal before their enforced removal; placing a statutory duty on the Secretary of State to appoint an independent family returns panel to advise on the best interests of the child in every case in which enforced return is proposed; and providing a separate legal basis for pre-departure accommodation independent of other immigration detention facilities",682,6.68627451
100692,1994,69437,97," 6472/93, relating to the privatisation of the German steel company Sachsische Edelstahlwerke GmbH, Freital/Saxony, 9098/93, relating to the restructuring of the Spanish integrated steel company Corporacion de la Siderurgia Integral (CSI), 10074/93, relating to the future of the European Coal and Steel Community Treaty, 10167/93, relating to the restructuring of the Portuguese steel company Siderurgia Nacional (SN), 10276/93 and 10359/93, relating to the restructuring of the German steel company EKO Stahl AG Eisenhuttenstadt, SEC(93) 1434, relating to the restructuring of the Spanish steel company SIDENOR, and 5473/94, a Commission Report on state aid to the steel industry",681,7.020618557
63806,2004,11867,103,"I beg to move, To leave out from ""House"" to the end of the Question, and to insert instead thereof:""welcomes the fact that this Government acknowledged the importance of children's issues by appointing the first ever Minister with responsibility for children and young people; congratulates the Government's commitment to Lord Laming's report on safeguarding children, shown in the Green Paper Every Child Matters, and its determination to turn words into action by publishing the Children's Bill in the other place today; acknowledges that the £885 million Quality Protects Programme is already improving the life chances of vulnerable children; commends the Government for the 8",680,6.601941748
115075,1994,500246,110," The most important is as follows: ""(i) Legal aid is not available before industrial tribunals, while legal representation is not, in practice, available to most employees who do not have access to trade union support;(ii) There are significant delays in the hearing of industrial tribunal cases which will discourage many workers from making claims, and the Bill makes no provision for this point to be met by the availability of interim relief to employees whose rights are infringed;(iii) The burden of proving that the reason for a dismissal or other detriment is the employee's refusal to do Sunday work will rest throughout on the employee, and will be difficult to overcome",680,6.181818182
133815,1984,6059,101,"I beg to move, That this House, noting that agriculture in Northern Ireland is faced with disadvantages which do not confront farmers elsewhere in the United Kingdom, that costs to the intensive sectors have increased dramatically, that the overall impact of European Community membership has been increased productivity without increased profitability, and that the twin pillars of efficiency and stability set out in the Agriculture Act 1947 have been set aside, calls upon the Government to counteract the damaging effects of European Economic Community membership on the agricultural industry in Northern Ireland which directly and indirectly provides a minimum of 13 per cent",680,6.732673267
113596,1994,425963,111," If the Chief Secretary to the Treasury thinks that foreigners are corrupt, he could have a field day if he were let loose on some of his own colleagues' appointees: the international director of the Welsh Development Agency, who served only nine weeks of a four-month posting to the United States and was then brought home on ""gardening leave"" for eight months until his fiftieth birthday, when he received a £228,000 retirement settlement; the so-called independent consultant used by the Wessex regional health authority, who turned out to be employed by IBM, and the subsequent waste of £20 million when the regional health authority was forced to abandon its computer system",679,6.117117117
24062,2024,565238,110,"”Amendment 9, page 3, line 23, at end insert—“4ZD The energy and job security test mentioned in s 4ZAThe energy and job security test is met in relation to a relevant year if the OGA assesses that new licences will—(a) lower energy bills for households;(b) deliver energy security and reduce reliance on imported fuel sources for domestic consumption;(c) enhance sustained job security for the oil and gas workforce in areas of the UK economically reliant on the oil and gas sector;(d) guarantee funding for domestic refineries to increase capacity to process sustainable fuel sources; and(e) help the oil and gas sector meet commitments set out in the North Sea Transition Deal",678,6.163636364
96122,1994,7667,101,"I beg to move, That this House notes the undemocratic influence and power of transnational and multinational companies in the economic life of Scotland and the deliberate erosion of the rights of Scottish workers by the imposition of legal shackles on trade unions and on their ability to defend workers' living standards by industrial action and collective strength; further notes the weakening of democratic life in Scotland by the centralisation of power and decision-making in unelected quangos, such as the Scottish Enterprise network of companies, Scottish Homes and NHS trusts; condemns the dismantling of local government democracy proposed in the Local Government Etc",676,6.693069307
15389,2024,178137,96,"(6) In subsection (5)—(a) after the definition of “developer” insert—““expert report” has the meaning given by section 123(9);”;(b) after the definition of “relevant defect” insert—““relevant steps” : see section 120;”;(c) after the definition of “specified” insert—““temporary accommodation costs” , in relation to a decant from a relevant building, means—(a) the costs of the temporary accommodation, and(b) other costs resulting from the decant, including removal costs, storage costs and reasonable travel costs;“works” means works—(a) to remedy a relevant defect in a relevant building, or(b) in connection with the taking of relevant steps in relation to such a defect",674,7.020833333
51403,2014,337493,101," Opposition Members had the opportunity to support much of it, such as legislation on same-sex marriage; on shared parental leave; on the establishment of single-tier pensions; on reforms to speed up adoption; on giving children in care new time limits on their care proceedings, to reduce delays; on introducing special, additional measures for children with special educational needs, including care plans; on establishing the principles of High Speed 2 and the Select Committee on the Bill; on electricity market reform and investment in our energy infrastructure; on investment in the water industry; and on protection for householders seeking insurance against flooding",674,6.673267327
52362,2014,382886,100,"New clause 28—Review of protections for persons in the health and social care sector making disclosures in the public interest—‘(1) Within six months of this Act receiving Royal Assent, the Secretary of State must make arrangements for an independent review of—(a) the adequacy and effectiveness of provisions for the protection of persons employed within the health and social care sector who make disclosures in the public interest (whistleblowers) about matters of concern to their employer, a prescribed person or body or another person or body;(b) the treatment and experience of past whistleblowers; and(c) the need and opportunities to improve existing protections",671,6.71
114430,1994,467358,108," I do not have time to quote all the Committee's recommendations over the years, but the most recent one, which appeared on 1 December 1993, stated: 'It should be remembered that the only reason given by the Procedure Committee in 1978 for its decision not to recommend the creation of a Select Committee on Northern Ireland Affairs was the continuing uncertainty over the future consultational arrangements for the Province' … However, the Committee accepted the advice of the then Secretary of State in 1990 that appointment of such a Committee at that time 'whilst attractive in principle, could cause difficulties for the initiative launched by the Secretary of State",671,6.212962963
71443,2004,99643,101,"Resolved,That this House notes the concern shared by all political parties at the lack of participation in the political process by young people and the decreasing turnout in elections throughout the country; welcomes the work of many charities, political experts, young people and organisations representing them, who have worked together in their belief that lowering the voting age would improve the quality of politics in the United Kingdom; but notes that the independent Electoral Commission's review of voting age and candidacy age is soon to be published and that the Government will carefully consider its conclusions, alongside the work of other organisations",669,6.623762376
33967,2014,6785,100,"I beg to move,That this House believes that no school system can surpass the quality of its teachers; and therefore resolves that all teachers in all state-funded schools should be qualified or working towards Qualified Teacher Status, be undertaking ongoing continuing professional development and have their skills and knowledge re-validated throughout their careers in order to support them to excel in the classroom, to improve learning outcomes for all children in all schools, to uphold discipline in the classroom, to tailor their teaching to children with special educational needs and to close the attainment gap between disadvantaged children and their peers",668,6.68
37358,2014,39333,100,"The petition states:The Petition of residents of Great Wyrley and Cheslyn Hay in the South Staffordshire constituency, and others,Declares that the current proposals to build a car park, health centre and over 140 houses on greenbelt land by Landywood Lane, Great Wyrley will lead to the erosion of the distinct identity of our individual villages and could cause substantial environmental damage; further notes that despite the rejection by South Staffordshire District Council of the current proposals, in line with public opinion, the applicant has appealed to the Planning Inspectorate to ignore the wishes of local residents and overturn the council’s decision",665,6.65
43847,2014,108442,94," 5700/14, a Commission Recommendation on minimum principles for the exploration and production of hydrocarbons, such as shale gas, using high volume hydraulic fracturing; supports the Government’s objective of securing an ambitious EU emissions reduction target for 2030 in order to support the EU in meeting its long-term climate and energy objectives; and further supports the Government’s objective of maintaining maximum flexibility for Member States to choose their own energy mix, including by exploring the potential for domestic resources, in order to secure their emissions reductions in the most cost-effective manner, given their particular circumstances",665,7.074468085
38287,2014,47635,99,"(2) For section 44 (treatment of workers supplied by agencies) substitute—“44 Treatment of workers supplied by agencies(1) This section applies if—(a) an individual (“the worker”) personally provides services (which are not excluded services) to another person (“the client”),(b) there is a contract between—(i) the client or a person connected with the client, and(ii) a person other than the worker, the client or a person connected with the client (“the agency”), and(c) under or in consequence of that contract—(i) the services are provided, or(ii) the client or any person connected with the client pays, or otherwise provides consideration, for the services",663,6.696969697
73430,2004,128589,104,"It states:""That this House welcomes the Government's proposal to close the legal loophole whereby historical evidence of use by horse and cart, or dedication as a carriageway prior to the invention of the internal combustion engine, can give rise to a claim for a byway open to all traffic which, if successful, allows for use by modern recreational motor vehicles of green lanes and other unsurfaced routes in the countryside; notes existing byways open to all traffic will still be subject to inappropriate and unsustainable use by recreational motor vehicles; is concerned that our precious countryside in the national parks and areas of outstanding beauty ",660,6.346153846
83123,2004,469811,96," They are: coherence with the Curry commission report and our own sustainable farming and food strategy launched in 2002—with the emphasis in both cases on bringing the industry closer to the market and the increasing importance of environmentally sensitive farming; consistency with our wider objectives for the CAP—including greater simplicity, transparency, minimal bureaucracy and as few deductions as possible from the basic payment available; and the need to attract the widest possible support of the stakeholder community for continuing payments to farming—which, we believe, requires moving towards a system in which public money delivers public goods",660,6.875
64031,2004,14780,103,"With this it will be convenient to discuss the following:New clause 8—Network management duty—'In exercising their network management duty, the local traffic authority shall be required to ensure:(a) that all traffic lights operate on a traffic sensitive basis during non rush hour periods,(b) traffic lights are set to achieve the most expeditious flow of traffic and pedestrians at all times they are operational,(c) that traffic lights give longer green phases to main roads than to side roads and give continuous green phases to main roads during quiet times of the day and night, save where the traffic sensors recognise traffic on approaching side roads",659,6.398058252
